22-07-11 11:18:08.934 : Total parameters: 56.71
22-07-11 13:19:38.069 : Epoch[79/2000], Step[0/275], loss: 0.027, PSNR: 27.70
22-07-11 13:20:08.915 : Epoch[79/2000], Step[100/275], loss: 0.028, PSNR: 28.03
22-07-11 13:20:39.758 : Epoch[79/2000], Step[200/275], loss: 0.028, PSNR: 28.17
22-07-11 13:21:04.037 : Epoch[80/2000], Step[0/275], loss: 0.031, PSNR: 26.88
22-07-11 13:21:34.874 : Epoch[80/2000], Step[100/275], loss: 0.025, PSNR: 28.59
22-07-11 13:22:05.667 : Epoch[80/2000], Step[200/275], loss: 0.028, PSNR: 28.01
22-07-11 13:22:29.731 : Epoch[81/2000], Step[0/275], loss: 0.026, PSNR: 28.32
22-07-11 13:23:00.620 : Epoch[81/2000], Step[100/275], loss: 0.028, PSNR: 27.76
22-07-11 13:23:31.359 : Epoch[81/2000], Step[200/275], loss: 0.038, PSNR: 25.44
22-07-11 13:23:55.523 : Epoch[82/2000], Step[0/275], loss: 0.034, PSNR: 26.62
22-07-11 13:24:26.346 : Epoch[82/2000], Step[100/275], loss: 0.027, PSNR: 28.19
22-07-11 13:24:57.109 : Epoch[82/2000], Step[200/275], loss: 0.027, PSNR: 28.47
22-07-11 13:25:21.300 : Epoch[83/2000], Step[0/275], loss: 0.029, PSNR: 27.63
22-07-11 13:25:52.092 : Epoch[83/2000], Step[100/275], loss: 0.027, PSNR: 28.12
22-07-11 13:26:22.911 : Epoch[83/2000], Step[200/275], loss: 0.027, PSNR: 28.10
22-07-11 13:26:46.986 : Epoch[84/2000], Step[0/275], loss: 0.032, PSNR: 26.91
22-07-11 13:27:17.900 : Epoch[84/2000], Step[100/275], loss: 0.028, PSNR: 27.62
22-07-11 13:27:48.779 : Epoch[84/2000], Step[200/275], loss: 0.026, PSNR: 28.24
22-07-11 13:28:12.856 : Epoch[85/2000], Step[0/275], loss: 0.029, PSNR: 27.21
22-07-11 13:28:43.739 : Epoch[85/2000], Step[100/275], loss: 0.034, PSNR: 26.76
22-07-11 13:29:14.552 : Epoch[85/2000], Step[200/275], loss: 0.024, PSNR: 29.12
22-07-11 13:29:38.980 : Epoch[86/2000], Step[0/275], loss: 0.025, PSNR: 28.52
22-07-11 13:30:09.797 : Epoch[86/2000], Step[100/275], loss: 0.025, PSNR: 28.67
22-07-11 13:30:40.626 : Epoch[86/2000], Step[200/275], loss: 0.024, PSNR: 29.00
22-07-11 13:31:04.536 : Epoch[87/2000], Step[0/275], loss: 0.028, PSNR: 27.87
